Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000063344,fam162a,protein_coding,24,4.945036905,5.588452837,5.897794194,5.982161704
ENSDARG00000097685,si:ch211-235i11.3,protein_coding,17,0,0,0,0
ENSDARG00000069301,tmem177,protein_coding,9,0.773671072,0.836143193,0.808653096,1.252490209
ENSDARG00000104901,ostc,protein_coding,7,7.721412992,7.812512806,8.465520956,8.094642789
ENSDARG00000031836,vps37c,protein_coding,1,2.739181937,2.300520784,1.323745211,2.707103416
ENSDARG00000030463,tppp3,protein_coding,7,0,0.836143193,1.702536188,0.758099792
ENSDARG00000070447,slc39a9,protein_coding,17,4.945036905,5.214220877,5.617675383,5.065628019
ENSDARG00000080018,kif16bb,protein_coding,13,1.274547371,1.36207273,1.323745211,0.758099792
ENSDARG00000036109,mtx1b,protein_coding,19,2.185255295,2.699751035,2.002271038,2.363891357
ENSDARG00000029612,gpkow,protein_coding,8,2.577078717,3.146119373,2.95683331,2.984154664
ENSDARG00000075759,samd4a,protein_coding,17,1.940526903,1.36207273,1.323745211,0
ENSDARG00000068484,CABZ01100185.1,processed_transcript,11,3.138447491,2.050008648,2.002271038,2.707103416
ENSDARG00000057635,wdr34,protein_coding,21,0.773671072,0,0,0
ENSDARG00000032737,gria3a,protein_coding,5,0.773671072,0,0,0.758099792
ENSDARG00000053517,EML5,protein_coding,17,0.773671072,1.36207273,0.808653096,0
ENSDARG00000092715,CR847503.1,lincRNA,8,0,0.836143193,0,0.758099792
ENSDARG00000015793,creb3l1,protein_coding,7,0,2.300520784,0,0.758099792
ENSDARG00000044573,cdc42,protein_coding,11,6.509712386,5.885331868,6.207557396,6.775156767
ENSDARG00000025206,syt2a,protein_coding,23,3.783777374,2.050008648,0,3.216476388
ENSDARG00000076270,adamts13,protein_coding,8,0,0,0,0.758099792
ENSDARG00000045415,gnal,protein_coding,24,1.645629537,2.699751035,2.002271038,0.758099792
ENSDARG00000023058,foxo3a,protein_coding,17,5.072203074,3.584216412,3.09013428,4.732088855
ENSDARG00000067711,parvg,protein_coding,25,0,0,0.808653096,0
ENSDARG00000091834,si:ch211-198m17.1,protein_coding,3,0.773671072,2.050008648,2.250317981,1.252490209
ENSDARG00000105445,CR769769.2,processed_transcript,11,0,0,0,0.758099792
ENSDARG00000078805,ap5b1,protein_coding,11,3.250260412,1.746662492,3.324652912,2.984154664
ENSDARG00000058893,nhej1,protein_coding,6,1.274547371,1.36207273,0,0
ENSDARG00000062376,nlgn3b,protein_coding,5,2.884896928,0,1.323745211,2.852269367
ENSDARG00000039490,pitpnaa,protein_coding,15,0,2.300520784,2.646399512,1.252490209
ENSDARG00000020986,ctu1,protein_coding,8,1.645629537,2.300520784,2.250317981,2.363891357
ENSDARG00000101165,si:dkey-157e10.8,protein_coding,4,0,0,0.808653096,0
ENSDARG00000003175,stx5al,protein_coding,21,3.856256294,4.420687829,4.002838239,4.347334249
ENSDARG00000074846,si:dkeyp-68b7.12,protein_coding,2,0.773671072,0,1.702536188,0.758099792
ENSDARG00000026759,ldlrb,protein_coding,6,0,0,0,0
ENSDARG00000033099,kif7,protein_coding,7,2.577078717,3.146119373,2.461908937,2.707103416
ENSDARG00000009341,nrap,protein_coding,12,0,2.300520784,0.808653096,2.155848877
ENSDARG00000090804,gpr155a,protein_coding,9,1.645629537,2.699751035,2.95683331,2.707103416
ENSDARG00000016977,snx27b,protein_coding,16,1.274547371,1.746662492,1.323745211,0.758099792
ENSDARG00000058538,alcamb,protein_coding,15,0,0.836143193,0.808653096,0.758099792
ENSDARG00000102175,hamp,protein_coding,16,11.6707711,9.60876163,10.07415157,10.96587692
ENSDARG00000018153,nt5c1ba,protein_coding,13,0.773671072,0,1.323745211,0
ENSDARG00000054533,araf,protein_coding,5,3.017235177,3.268731171,3.703234334,2.707103416
ENSDARG00000092243,BX005065.1,lincRNA,8,0.773671072,0,0,0
ENSDARG00000038154,isca2,protein_coding,17,4.523439657,4.420687829,4.646762478,5.260331481
